number,values_0,values_1,values_2,values_3,datetime_start,datetime_complete,duration,params_C_in,params_C_out,params_alpha,params_alpha_weight,params_batch_size,params_class_labels,params_head_hidden_state,params_kernel_size,params_lambda_weight,params_lr,params_num_dil_rates,params_num_fc,params_num_rates,params_wave_hidden_state,params_xi_weight,params_z_dim,system_attrs_grid_id,system_attrs_search_space,state
0,0.11142386496067047,0.09437286108732224,7.582310676574707,0.07172471284866333,2022-08-11 13:06:59.618704,2022-08-11 13:52:48.404501,0 days 00:45:48.785797,21,256,0.1,0.99,8,21,512,3,1.0,0.0001,5,3,0,128,10.0,4,1,"OrderedDict([('batch_size', [4, 8, 16, 32, 64, 128, 256, 512, 1024])])",COMPLETE
1,0.04263806343078613,0.1568218171596527,7.986299514770508,0.1549941450357437,2022-08-11 13:52:48.405773,2022-08-11 15:15:48.551296,0 days 01:23:00.145523,21,256,0.1,0.99,4,21,512,3,1.0,0.0001,5,3,0,128,10.0,4,0,"OrderedDict([('batch_size', [4, 8, 16, 32, 64, 128, 256, 512, 1024])])",COMPLETE
2,1.5852036476135254,0.010239005088806152,1.7238926887512207,0.01016855239868164,2022-08-11 15:15:48.553642,2022-08-11 15:32:09.118854,0 days 00:16:20.565212,21,256,0.1,0.99,512,21,512,3,1.0,0.0001,5,3,0,128,10.0,4,7,"OrderedDict([('batch_size', [4, 8, 16, 32, 64, 128, 256, 512, 1024])])",COMPLETE
3,0.6725783348083496,0.021472588181495667,2.1606686115264893,0.02522137202322483,2022-08-11 15:32:09.119793,2022-08-11 15:50:13.409429,0 days 00:18:04.289636,21,256,0.1,0.99,64,21,512,3,1.0,0.0001,5,3,0,128,10.0,4,4,"OrderedDict([('batch_size', [4, 8, 16, 32, 64, 128, 256, 512, 1024])])",COMPLETE
4,0.0912666916847229,0.03181634098291397,6.40503454208374,0.025555133819580078,2022-08-11 15:50:13.410412,2022-08-11 16:09:59.887141,0 days 00:19:46.476729,21,256,0.1,0.99,32,21,512,3,1.0,0.0001,5,3,0,128,10.0,4,3,"OrderedDict([('batch_size', [4, 8, 16, 32, 64, 128, 256, 512, 1024])])",COMPLETE
5,0.04412153363227844,0.0506746731698513,7.74077844619751,0.043651558458805084,2022-08-11 16:09:59.888043,2022-08-11 16:37:18.164042,0 days 00:27:18.275999,21,256,0.1,0.99,16,21,512,3,1.0,0.0001,5,3,0,128,10.0,4,2,"OrderedDict([('batch_size', [4, 8, 16, 32, 64, 128, 256, 512, 1024])])",COMPLETE
6,1.7752783298492432,0.014609277248382568,1.7839000225067139,0.016144990921020508,2022-08-11 16:37:18.164729,2022-08-11 16:53:34.778129,0 days 00:16:16.613400,21,256,0.1,0.99,1024,21,512,3,1.0,0.0001,5,3,0,128,10.0,4,8,"OrderedDict([('batch_size', [4, 8, 16, 32, 64, 128, 256, 512, 1024])])",COMPLETE
7,1.0979654788970947,0.01342435646802187,1.6624432802200317,0.020287156105041504,2022-08-11 16:53:34.779124,2022-08-11 17:10:44.789388,0 days 00:17:10.010264,21,256,0.1,0.99,128,21,512,3,1.0,0.0001,5,3,0,128,10.0,4,5,"OrderedDict([('batch_size', [4, 8, 16, 32, 64, 128, 256, 512, 1024])])",COMPLETE
8,1.3867952823638916,0.011057686991989613,1.6172423362731934,0.01791137456893921,2022-08-11 17:10:44.790404,2022-08-11 17:27:14.131959,0 days 00:16:29.341555,21,256,0.1,0.99,256,21,512,3,1.0,0.0001,5,3,0,128,10.0,4,6,"OrderedDict([('batch_size', [4, 8, 16, 32, 64, 128, 256, 512, 1024])])",COMPLETE
