number,values_0,values_1,values_2,values_3,datetime_start,datetime_complete,duration,params_C_in,params_C_out,params_alpha,params_alpha_weight,params_class_labels,params_head_hidden_state,params_kernel_size,params_lambda_weight,params_lr,params_num_dil_rates,params_num_fc,params_num_rates,params_wave_hidden_state,params_xi_weight,params_z_dim,system_attrs_grid_id,system_attrs_search_space,state
0,1.4390668869018555,0.0043325661681592464,1.6398093700408936,0.051939189434051514,2022-08-11 01:10:55.817564,2022-08-11 01:28:57.869814,0 days 00:18:02.052250,21,256,0.1,0.99,21,512,3,50.0,0.0001,5,3,0,128,10.0,4,5,"OrderedDict([('lambda_weight', [1.0, 2.0, 5.0, 10.0, 20.0, 50.0, 100.0])])",COMPLETE
1,1.4025788307189941,0.01309049129486084,1.6178357601165771,0.035748422145843506,2022-08-11 01:28:57.870881,2022-08-11 01:45:41.107933,0 days 00:16:43.237052,21,256,0.1,0.99,21,512,3,1.0,0.0001,5,3,0,128,10.0,4,0,"OrderedDict([('lambda_weight', [1.0, 2.0, 5.0, 10.0, 20.0, 50.0, 100.0])])",COMPLETE
2,1.3720059394836426,0.009469223208725452,1.6193017959594727,0.018920540809631348,2022-08-11 01:45:41.108930,2022-08-11 02:02:26.350934,0 days 00:16:45.242004,21,256,0.1,0.99,21,512,3,2.0,0.0001,5,3,0,128,10.0,4,1,"OrderedDict([('lambda_weight', [1.0, 2.0, 5.0, 10.0, 20.0, 50.0, 100.0])])",COMPLETE
3,1.3389359712600708,0.006448483560234308,1.633739948272705,0.03344929218292236,2022-08-11 02:02:26.352082,2022-08-11 02:19:27.503208,0 days 00:17:01.151126,21,256,0.1,0.99,21,512,3,20.0,0.0001,5,3,0,128,10.0,4,4,"OrderedDict([('lambda_weight', [1.0, 2.0, 5.0, 10.0, 20.0, 50.0, 100.0])])",COMPLETE
4,1.3987689018249512,0.0067646740935742855,1.6304051876068115,0.027093112468719482,2022-08-11 02:19:27.504413,2022-08-11 02:36:13.601269,0 days 00:16:46.096856,21,256,0.1,0.99,21,512,3,5.0,0.0001,5,3,0,128,10.0,4,2,"OrderedDict([('lambda_weight', [1.0, 2.0, 5.0, 10.0, 20.0, 50.0, 100.0])])",COMPLETE
5,1.4173139333724976,0.006714081857353449,1.6391382217407227,0.02295994758605957,2022-08-11 02:36:13.602341,2022-08-11 02:53:49.728164,0 days 00:17:36.125823,21,256,0.1,0.99,21,512,3,10.0,0.0001,5,3,0,128,10.0,4,3,"OrderedDict([('lambda_weight', [1.0, 2.0, 5.0, 10.0, 20.0, 50.0, 100.0])])",COMPLETE
6,1.4000965356826782,0.0053400276228785515,1.6266452074050903,0.029752790927886963,2022-08-11 02:53:49.729243,2022-08-11 03:11:52.407871,0 days 00:18:02.678628,21,256,0.1,0.99,21,512,3,100.0,0.0001,5,3,0,128,10.0,4,6,"OrderedDict([('lambda_weight', [1.0, 2.0, 5.0, 10.0, 20.0, 50.0, 100.0])])",COMPLETE
