number,values_0,values_1,values_2,values_3,datetime_start,datetime_complete,duration,params_C_in,params_C_out,params_alpha,params_alpha_weight,params_class_labels,params_head_hidden_state,params_kernel_size,params_lambda_weight,params_lr,params_num_dil_rates,params_num_rates,params_wave_hidden_state,params_xi_weight,params_z_dim,system_attrs_grid_id,system_attrs_search_space,state
0,1.3837332725524902,0.004235267639160156,1.6755540370941162,0.0644543468952179,2022-08-06 21:21:43.896658,2022-08-06 21:36:28.707138,0 days 00:14:44.810480,21,128,0.1,0.95,21,128,3,2.0,0.0001,6,0,128,1.0,1,0,"OrderedDict([('z_dim', [1, 2, 3, 4, 5])])",COMPLETE
1,1.3337527513504028,0.006483518984168768,1.6591079235076904,0.028352290391921997,2022-08-06 21:36:28.708171,2022-08-06 21:50:38.649623,0 days 00:14:09.941452,21,128,0.1,0.95,21,128,3,2.0,0.0001,6,0,128,1.0,2,1,"OrderedDict([('z_dim', [1, 2, 3, 4, 5])])",COMPLETE
2,1.3746371269226074,0.01793353632092476,1.6662664413452148,0.043747007846832275,2022-08-06 21:50:38.650567,2022-08-06 22:04:52.701685,0 days 00:14:14.051118,21,128,0.1,0.95,21,128,3,2.0,0.0001,6,0,128,1.0,5,4,"OrderedDict([('z_dim', [1, 2, 3, 4, 5])])",COMPLETE
3,1.351830244064331,0.014819455333054066,1.653066635131836,0.04521602392196655,2022-08-06 22:04:52.702763,2022-08-06 22:19:05.516724,0 days 00:14:12.813961,21,128,0.1,0.95,21,128,3,2.0,0.0001,6,0,128,1.0,4,3,"OrderedDict([('z_dim', [1, 2, 3, 4, 5])])",COMPLETE
4,1.3856875896453857,0.010317015461623669,1.6994433403015137,0.03796452283859253,2022-08-06 22:19:05.517715,2022-08-06 22:33:20.390113,0 days 00:14:14.872398,21,128,0.1,0.95,21,128,3,2.0,0.0001,6,0,128,1.0,3,2,"OrderedDict([('z_dim', [1, 2, 3, 4, 5])])",COMPLETE
