number,values_0,values_1,values_2,values_3,datetime_start,datetime_complete,duration,params_C_in,params_C_out,params_alpha,params_alpha_weight,params_class_labels,params_head_hidden_state,params_kernel_size,params_lambda_weight,params_lr,params_num_dil_rates,params_num_rates,params_wave_hidden_state,params_xi_weight,params_z_dim,system_attrs_grid_id,system_attrs_search_space,state
0,1.118322730064392,0.014813542366027832,1.5752594470977783,0.014214515686035156,2022-08-07 01:40:42.638086,2022-08-07 02:10:36.120192,0 days 00:29:53.482106,21,128,0.1,0.95,21,128,3,2.0,0.0001,6,0,128,1.0,11,0,"OrderedDict([('z_dim', [11, 12, 13, 14, 15])])",COMPLETE
1,1.0607532262802124,0.014719687402248383,1.5769338607788086,0.014275819063186646,2022-08-07 02:10:36.121289,2022-08-07 02:39:45.199329,0 days 00:29:09.078040,21,128,0.1,0.95,21,128,3,2.0,0.0001,6,0,128,1.0,12,1,"OrderedDict([('z_dim', [11, 12, 13, 14, 15])])",COMPLETE
2,1.079014539718628,0.014031924307346344,1.5882809162139893,0.01358523964881897,2022-08-07 02:39:45.199946,2022-08-07 03:08:53.102168,0 days 00:29:07.902222,21,128,0.1,0.95,21,128,3,2.0,0.0001,6,0,128,1.0,15,4,"OrderedDict([('z_dim', [11, 12, 13, 14, 15])])",COMPLETE
3,1.1490665674209595,0.014584213495254517,1.5994179248809814,0.015484064817428589,2022-08-07 03:08:53.103368,2022-08-07 03:38:06.240461,0 days 00:29:13.137093,21,128,0.1,0.95,21,128,3,2.0,0.0001,6,0,128,1.0,14,3,"OrderedDict([('z_dim', [11, 12, 13, 14, 15])])",COMPLETE
4,1.1516871452331543,0.014196731150150299,1.5875892639160156,0.014822453260421753,2022-08-07 03:38:06.241552,2022-08-07 04:07:15.508431,0 days 00:29:09.266879,21,128,0.1,0.95,21,128,3,2.0,0.0001,6,0,128,1.0,13,2,"OrderedDict([('z_dim', [11, 12, 13, 14, 15])])",COMPLETE
