number,values_0,values_1,values_2,values_3,datetime_start,datetime_complete,duration,params_C_in,params_C_out,params_alpha,params_alpha_weight,params_class_labels,params_head_hidden_state,params_kernel_size,params_lambda_weight,params_lr,params_num_dil_rates,params_num_fc,params_num_rates,params_wave_hidden_state,params_xi_weight,params_z_dim,system_attrs_grid_id,system_attrs_search_space,state
0,1.1478780508041382,0.022102080285549164,1.5740247964859009,0.02213519811630249,2022-08-10 04:28:49.049396,2022-08-10 05:19:05.277698,0 days 00:50:16.228302,21,32,0.1,0.95,21,256,3,2.0,0.0001,6,0,0,128,1.0,6,0,"OrderedDict([('num_fc', [0, 1, 2, 3, 4])])",COMPLETE
1,1.1651407480239868,0.02229022979736328,1.5771816968917847,0.02192777395248413,2022-08-10 05:19:05.278737,2022-08-10 06:08:59.900873,0 days 00:49:54.622136,21,32,0.1,0.95,21,256,3,2.0,0.0001,6,1,0,128,1.0,6,1,"OrderedDict([('num_fc', [0, 1, 2, 3, 4])])",COMPLETE
2,1.1123433113098145,0.019625693559646606,1.5890471935272217,0.020102709531784058,2022-08-10 06:09:01.932495,2022-08-10 06:59:01.640916,0 days 00:49:59.708421,21,32,0.1,0.95,21,256,3,2.0,0.0001,6,4,0,128,1.0,6,4,"OrderedDict([('num_fc', [0, 1, 2, 3, 4])])",COMPLETE
3,1.099382758140564,0.019063137471675873,1.5449962615966797,0.022534072399139404,2022-08-10 06:59:01.641825,2022-08-10 07:48:57.223960,0 days 00:49:55.582135,21,32,0.1,0.95,21,256,3,2.0,0.0001,6,3,0,128,1.0,6,3,"OrderedDict([('num_fc', [0, 1, 2, 3, 4])])",COMPLETE
4,1.1231002807617188,0.022273309528827667,1.575613021850586,0.023336321115493774,2022-08-10 07:48:57.224976,2022-08-10 08:38:50.175567,0 days 00:49:52.950591,21,32,0.1,0.95,21,256,3,2.0,0.0001,6,2,0,128,1.0,6,2,"OrderedDict([('num_fc', [0, 1, 2, 3, 4])])",COMPLETE
