number,values_0,values_1,values_2,values_3,datetime_start,datetime_complete,duration,params_C_in,params_C_out,params_alpha,params_alpha_weight,params_class_labels,params_head_hidden_state,params_kernel_size,params_lambda_weight,params_lr,params_num_dil_rates,params_num_rates,params_wave_hidden_state,params_xi_weight,params_z_dim,system_attrs_grid_id,system_attrs_search_space,state
0,1.161991834640503,0.004633449018001556,1.570429801940918,0.008317485451698303,2022-08-07 01:01:50.999608,2022-08-07 01:31:11.261609,0 days 00:29:20.262001,21,128,0.1,0.95,21,128,3,2.0,0.0001,6,0,128,1.0,1,0,"OrderedDict([('z_dim', [1, 2, 3, 4, 5])])",COMPLETE
1,1.1739730834960938,0.0044489577412605286,1.5679490566253662,0.01246747374534607,2022-08-07 01:31:11.262356,2022-08-07 01:59:52.436800,0 days 00:28:41.174444,21,128,0.1,0.95,21,128,3,2.0,0.0001,6,0,128,1.0,2,1,"OrderedDict([('z_dim', [1, 2, 3, 4, 5])])",COMPLETE
2,1.156303882598877,0.011291727423667908,1.574405312538147,0.019399195909500122,2022-08-07 01:59:52.437745,2022-08-07 02:28:37.289979,0 days 00:28:44.852234,21,128,0.1,0.95,21,128,3,2.0,0.0001,6,0,128,1.0,5,4,"OrderedDict([('z_dim', [1, 2, 3, 4, 5])])",COMPLETE
3,1.1674585342407227,0.008815653622150421,1.5703953504562378,0.01883411407470703,2022-08-07 02:28:37.292377,2022-08-07 02:57:16.952503,0 days 00:28:39.660126,21,128,0.1,0.95,21,128,3,2.0,0.0001,6,0,128,1.0,4,3,"OrderedDict([('z_dim', [1, 2, 3, 4, 5])])",COMPLETE
4,1.1775959730148315,0.005971662700176239,1.5644071102142334,0.013818562030792236,2022-08-07 02:57:16.954477,2022-08-07 03:25:54.224120,0 days 00:28:37.269643,21,128,0.1,0.95,21,128,3,2.0,0.0001,6,0,128,1.0,3,2,"OrderedDict([('z_dim', [1, 2, 3, 4, 5])])",COMPLETE
