number,values_0,values_1,values_2,values_3,datetime_start,datetime_complete,duration,params_C_in,params_C_out,params_alpha,params_alpha_weight,params_class_labels,params_head_hidden_state,params_kernel_size,params_lambda_weight,params_lr,params_num_dil_rates,params_num_rates,params_wave_hidden_state,params_xi_weight,params_z_dim,system_attrs_grid_id,system_attrs_search_space,state
0,1.6231615543365479,0.014364898204803467,1.6963474750518799,0.018264174461364746,2022-08-07 13:41:29.485225,2022-08-07 14:10:56.919749,0 days 00:29:27.434524,21,128,0.1,0.95,21,128,3,2.0,0.0001,6,0,32,1.0,6,0,"OrderedDict([('wave_hidden_state', [32, 64, 128, 256, 512])])",COMPLETE
1,1.4465060234069824,0.015027225017547607,1.5873711109161377,0.01855182647705078,2022-08-07 14:10:56.920951,2022-08-07 14:47:57.166110,0 days 00:37:00.245159,21,128,0.1,0.95,21,128,3,2.0,0.0001,6,0,64,1.0,6,1,"OrderedDict([('wave_hidden_state', [32, 64, 128, 256, 512])])",COMPLETE
2,0.056417081505060196,0.019945167005062103,5.466441631317139,0.023053675889968872,2022-08-07 14:47:57.166935,2022-08-07 21:39:06.089732,0 days 06:51:08.922797,21,128,0.1,0.95,21,128,3,2.0,0.0001,6,0,512,1.0,6,4,"OrderedDict([('wave_hidden_state', [32, 64, 128, 256, 512])])",COMPLETE
3,0.14577287435531616,0.018018215894699097,6.09724760055542,0.024954944849014282,2022-08-07 21:39:06.090600,2022-08-07 23:52:31.052595,0 days 02:13:24.961995,21,128,0.1,0.95,21,128,3,2.0,0.0001,6,0,256,1.0,6,3,"OrderedDict([('wave_hidden_state', [32, 64, 128, 256, 512])])",COMPLETE
4,1.1025314331054688,0.014169268310070038,1.5482823848724365,0.020965605974197388,2022-08-07 23:52:31.053902,2022-08-08 00:54:54.472201,0 days 01:02:23.418299,21,128,0.1,0.95,21,128,3,2.0,0.0001,6,0,128,1.0,6,2,"OrderedDict([('wave_hidden_state', [32, 64, 128, 256, 512])])",COMPLETE
