number,values_0,values_1,values_2,values_3,datetime_start,datetime_complete,duration,params_C_in,params_C_out,params_alpha,params_alpha_weight,params_batch_size,params_class_labels,params_head_hidden_state,params_kernel_size,params_lambda_weight,params_lr,params_num_dil_rates,params_num_fc,params_num_rates,params_wave_hidden_state,params_xi_weight,params_z_dim,system_attrs_grid_id,system_attrs_search_space,state
0,1.262650966644287,0.01869358867406845,1.5544774532318115,0.02012932300567627,2022-08-11 13:10:13.680503,2022-08-11 13:32:30.868692,0 days 00:22:17.188189,21,32,0.1,0.95,256,21,256,3,2.0,0.0001,5,3,0,128,1.0,6,5,"OrderedDict([('alpha_weight', [0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.99])])",COMPLETE
1,1.2818492650985718,0.05600402504205704,1.558488368988037,0.05520564317703247,2022-08-11 13:32:30.869688,2022-08-11 13:54:26.777457,0 days 00:21:55.907769,21,32,0.1,0.7,256,21,256,3,2.0,0.0001,5,3,0,128,1.0,6,0,"OrderedDict([('alpha_weight', [0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.99])])",COMPLETE
2,1.2510592937469482,0.04703093320131302,1.5599453449249268,0.0458204448223114,2022-08-11 13:54:26.778367,2022-08-11 14:16:28.908583,0 days 00:22:02.130216,21,32,0.1,0.75,256,21,256,3,2.0,0.0001,5,3,0,128,1.0,6,1,"OrderedDict([('alpha_weight', [0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.99])])",COMPLETE
3,1.2967041730880737,0.03381946682929993,1.562185525894165,0.03109171986579895,2022-08-11 14:16:28.909625,2022-08-11 14:38:32.738766,0 days 00:22:03.829141,21,32,0.1,0.9,256,21,256,3,2.0,0.0001,5,3,0,128,1.0,6,4,"OrderedDict([('alpha_weight', [0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.99])])",COMPLETE
4,1.2458575963974,0.04483632743358612,1.5608510971069336,0.04217538237571716,2022-08-11 14:38:32.740747,2022-08-11 15:00:47.359514,0 days 00:22:14.618767,21,32,0.1,0.8,256,21,256,3,2.0,0.0001,5,3,0,128,1.0,6,2,"OrderedDict([('alpha_weight', [0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.99])])",COMPLETE
5,1.271309733390808,0.03802792727947235,1.5597267150878906,0.04187887907028198,2022-08-11 15:00:47.360463,2022-08-11 15:22:59.120842,0 days 00:22:11.760379,21,32,0.1,0.85,256,21,256,3,2.0,0.0001,5,3,0,128,1.0,6,3,"OrderedDict([('alpha_weight', [0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.99])])",COMPLETE
6,1.1858595609664917,0.002966269850730896,1.5442944765090942,0.0037961602210998535,2022-08-11 15:22:59.121918,2022-08-11 15:45:06.970227,0 days 00:22:07.848309,21,32,0.1,0.99,256,21,256,3,2.0,0.0001,5,3,0,128,1.0,6,6,"OrderedDict([('alpha_weight', [0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.99])])",COMPLETE
