number,values_0,values_1,values_2,values_3,datetime_start,datetime_complete,duration,params_C_in,params_C_out,params_alpha,params_alpha_weight,params_class_labels,params_head_hidden_state,params_kernel_size,params_lambda_weight,params_lr,params_num_dil_rates,params_num_fc,params_num_rates,params_wave_hidden_state,params_xi_weight,params_z_dim,system_attrs_grid_id,system_attrs_search_space,state
0,1.1910216808319092,0.015290260314941406,1.589989185333252,0.020152240991592407,2022-08-09 00:50:23.340290,2022-08-09 01:52:52.728587,0 days 01:02:29.388297,21,128,0.1,0.95,21,32,3,2.0,0.0001,6,1,0,128,1.0,6,0,"OrderedDict([('head_hidden_state', [32, 64, 128, 256, 512])])",COMPLETE
1,1.105409860610962,0.014210477471351624,1.5692342519760132,0.018908590078353882,2022-08-09 01:52:52.729623,2022-08-09 02:55:08.695195,0 days 01:02:15.965572,21,128,0.1,0.95,21,64,3,2.0,0.0001,6,1,0,128,1.0,6,1,"OrderedDict([('head_hidden_state', [32, 64, 128, 256, 512])])",COMPLETE
2,1.041959524154663,0.014909036457538605,1.615003228187561,0.021683841943740845,2022-08-09 02:55:08.696238,2022-08-09 04:00:33.795726,0 days 01:05:25.099488,21,128,0.1,0.95,21,512,3,2.0,0.0001,6,1,0,128,1.0,6,4,"OrderedDict([('head_hidden_state', [32, 64, 128, 256, 512])])",COMPLETE
3,1.1066136360168457,0.01488041877746582,1.5662574768066406,0.019685596227645874,2022-08-09 04:00:33.797249,2022-08-09 05:05:30.590551,0 days 01:04:56.793302,21,128,0.1,0.95,21,256,3,2.0,0.0001,6,1,0,128,1.0,6,3,"OrderedDict([('head_hidden_state', [32, 64, 128, 256, 512])])",COMPLETE
4,1.155710220336914,0.015640780329704285,1.5873053073883057,0.019751816987991333,2022-08-09 05:05:30.591525,2022-08-09 06:09:33.694344,0 days 01:04:03.102819,21,128,0.1,0.95,21,128,3,2.0,0.0001,6,1,0,128,1.0,6,2,"OrderedDict([('head_hidden_state', [32, 64, 128, 256, 512])])",COMPLETE
