number,values_0,values_1,values_2,values_3,datetime_start,datetime_complete,duration,params_C_in,params_C_out,params_alpha,params_alpha_weight,params_class_labels,params_head_hidden_state,params_kernel_size,params_lambda_weight,params_lr,params_num_dil_rates,params_num_fc,params_num_rates,params_wave_hidden_state,params_xi_weight,params_z_dim,system_attrs_grid_id,system_attrs_search_space,state
0,1.2605171203613281,0.0016160309314727783,1.5489875078201294,0.0014039576053619385,2022-08-14 01:53:47.362060,2022-08-14 02:36:31.130218,0 days 00:42:43.768158,21,32,0.1,0.99,21,256,3,50.0,0.0001,5,3,0,128,1.0,6,5,"OrderedDict([('lambda_weight', [1.0, 2.0, 5.0, 10.0, 20.0, 50.0, 100.0])])",COMPLETE
1,1.243748426437378,0.0044626593589782715,1.5442700386047363,0.006461739540100098,2022-08-14 02:36:31.131293,2022-08-14 03:19:00.219644,0 days 00:42:29.088351,21,32,0.1,0.99,21,256,3,1.0,0.0001,5,3,0,128,1.0,6,0,"OrderedDict([('lambda_weight', [1.0, 2.0, 5.0, 10.0, 20.0, 50.0, 100.0])])",COMPLETE
2,1.2290050983428955,0.0029132142663002014,1.542654037475586,0.004336535930633545,2022-08-14 03:19:00.221447,2022-08-14 04:01:11.686287,0 days 00:42:11.464840,21,32,0.1,0.99,21,256,3,2.0,0.0001,5,3,0,128,1.0,6,1,"OrderedDict([('lambda_weight', [1.0, 2.0, 5.0, 10.0, 20.0, 50.0, 100.0])])",COMPLETE
3,1.2837777137756348,0.00232580304145813,1.542696475982666,0.0030704736709594727,2022-08-14 04:01:11.687253,2022-08-14 04:43:23.640100,0 days 00:42:11.952847,21,32,0.1,0.99,21,256,3,20.0,0.0001,5,3,0,128,1.0,6,4,"OrderedDict([('lambda_weight', [1.0, 2.0, 5.0, 10.0, 20.0, 50.0, 100.0])])",COMPLETE
4,1.228779673576355,0.002584993839263916,1.533217191696167,0.0026804208755493164,2022-08-14 04:43:23.736526,2022-08-14 05:25:23.636035,0 days 00:41:59.899509,21,32,0.1,0.99,21,256,3,5.0,0.0001,5,3,0,128,1.0,6,2,"OrderedDict([('lambda_weight', [1.0, 2.0, 5.0, 10.0, 20.0, 50.0, 100.0])])",COMPLETE
5,1.244072437286377,0.0028537362813949585,1.5372925996780396,0.00289762020111084,2022-08-14 05:25:23.797849,2022-08-14 06:07:21.028399,0 days 00:41:57.230550,21,32,0.1,0.99,21,256,3,10.0,0.0001,5,3,0,128,1.0,6,3,"OrderedDict([('lambda_weight', [1.0, 2.0, 5.0, 10.0, 20.0, 50.0, 100.0])])",COMPLETE
6,1.2078533172607422,0.0023972615599632263,1.5520038604736328,0.002766162157058716,2022-08-14 06:07:21.029366,2022-08-14 06:49:16.540435,0 days 00:41:55.511069,21,32,0.1,0.99,21,256,3,100.0,0.0001,5,3,0,128,1.0,6,6,"OrderedDict([('lambda_weight', [1.0, 2.0, 5.0, 10.0, 20.0, 50.0, 100.0])])",COMPLETE
