number,values_0,values_1,values_2,values_3,datetime_start,datetime_complete,duration,params_C_in,params_C_out,params_alpha,params_alpha_weight,params_class_labels,params_head_hidden_state,params_kernel_size,params_lambda_weight,params_lr,params_num_dil_rates,params_num_rates,params_wave_hidden_state,params_xi_weight,params_z_dim,system_attrs_grid_id,system_attrs_search_space,state
0,1.1528950929641724,0.014441028237342834,1.5895267724990845,0.014247149229049683,2022-08-07 01:57:57.002298,2022-08-07 02:26:32.498139,0 days 00:28:35.495841,21,128,0.1,0.95,21,128,3,2.0,0.0001,6,0,128,1.0,16,0,"OrderedDict([('z_dim', [16, 17, 18, 19, 20])])",COMPLETE
1,1.1329971551895142,0.0143190398812294,1.6079487800598145,0.01510709524154663,2022-08-07 02:26:32.499172,2022-08-07 02:54:47.169248,0 days 00:28:14.670076,21,128,0.1,0.95,21,128,3,2.0,0.0001,6,0,128,1.0,17,1,"OrderedDict([('z_dim', [16, 17, 18, 19, 20])])",COMPLETE
2,1.108750581741333,0.014020450413227081,1.571471929550171,0.013933807611465454,2022-08-07 02:54:47.170219,2022-08-07 03:23:11.667311,0 days 00:28:24.497092,21,128,0.1,0.95,21,128,3,2.0,0.0001,6,0,128,1.0,20,4,"OrderedDict([('z_dim', [16, 17, 18, 19, 20])])",COMPLETE
3,1.0892703533172607,0.014406494796276093,1.5714391469955444,0.01354566216468811,2022-08-07 03:23:11.668345,2022-08-07 03:51:29.285992,0 days 00:28:17.617647,21,128,0.1,0.95,21,128,3,2.0,0.0001,6,0,128,1.0,19,3,"OrderedDict([('z_dim', [16, 17, 18, 19, 20])])",COMPLETE
4,1.133411169052124,0.013883717358112335,1.5747740268707275,0.014317184686660767,2022-08-07 03:51:29.287023,2022-08-07 04:19:37.609250,0 days 00:28:08.322227,21,128,0.1,0.95,21,128,3,2.0,0.0001,6,0,128,1.0,18,2,"OrderedDict([('z_dim', [16, 17, 18, 19, 20])])",COMPLETE
