number,values_0,values_1,values_2,values_3,values_4,values_5,values_6,values_7,values_8,values_9,datetime_start,datetime_complete,duration,params_C_out,params_MI_weight,params_dec_kernel_size,params_disc_num_layers,params_enc_kernel,params_encoder_rates,params_gamma_weight,params_head_hidden_state,params_hidden_width,params_lambda_weight,params_nll_weight,params_num_dil_rates,params_num_fc,params_p,params_wave_hidden_state,params_z_dim,system_attrs_grid_id,system_attrs_search_space,state
0,1.1037049293518066,1.2410364151000977,0.9106256365776062,1.002657413482666,0.017830438911914825,0.10817703604698181,1.0808398723602295,0.9324227571487427,0.018642663955688477,0.07722201198339462,2023-01-06 14:31:47.345751,2023-01-06 16:19:54.446714,0 days 01:48:07.100963,512,0.95,3,2,3,0,1.0,128,10,2.0,1.0,8,2,0.4,256,6,1,"OrderedDict([('head_hidden_state', [64, 128, 256, 512])])",COMPLETE
1,1.0842825174331665,1.2174806594848633,0.8871832489967346,0.9244288206100464,0.019044749438762665,0.11374059319496155,1.0676090717315674,0.9502276182174683,0.0184326171875,0.0664166808128357,2023-01-06 16:19:54.448248,2023-01-06 18:09:00.069599,0 days 01:49:05.621351,512,0.95,3,2,3,0,1.0,512,10,2.0,1.0,8,2,0.4,256,6,3,"OrderedDict([('head_hidden_state', [64, 128, 256, 512])])",COMPLETE
2,1.1246981620788574,1.2416836023330688,0.930162250995636,1.0262457132339478,0.017364926636219025,0.10936208814382553,1.085936427116394,0.9783793687820435,0.018528342247009277,0.0706978589296341,2023-01-06 18:09:00.070309,2023-01-06 19:57:07.136783,0 days 01:48:07.066474,512,0.95,3,2,3,0,1.0,64,10,2.0,1.0,8,2,0.4,256,6,0,"OrderedDict([('head_hidden_state', [64, 128, 256, 512])])",COMPLETE
3,1.0961053371429443,1.2258663177490234,0.8956922292709351,1.097392201423645,0.017476670444011688,0.11146397888660431,1.0670065879821777,1.0759644508361816,0.017214059829711914,0.07149416208267212,2023-01-06 19:57:07.137487,2023-01-06 21:46:18.517448,0 days 01:49:11.379961,512,0.95,3,2,3,0,1.0,256,10,2.0,1.0,8,2,0.4,256,6,2,"OrderedDict([('head_hidden_state', [64, 128, 256, 512])])",COMPLETE
