number,values_0,values_1,values_2,values_3,values_4,values_5,values_6,values_7,values_8,values_9,datetime_start,datetime_complete,duration,params_C_out,params_MI_weight,params_dec_kernel_size,params_disc_num_layers,params_enc_kernel,params_encoder_rates,params_gamma_weight,params_head_hidden_state,params_hidden_width,params_lambda_weight,params_nll_weight,params_num_dil_rates,params_num_fc,params_p,params_wave_hidden_state,params_z_dim,system_attrs_grid_id,system_attrs_search_space,state
0,1.0912392139434814,1.2234164476394653,0.848914384841919,3.58378529548645,0.0007894039154052734,0.1275544911623001,1.0365902185440063,3.515524387359619,0.0008043646812438965,0.07124260067939758,2023-01-08 13:58:38.922038,2023-01-08 17:30:51.136053,0 days 03:32:12.214015,512,0.99,3,2,3,0,1.0,512,10,100.0,1.0,12,2,0.4,256,6,5,"OrderedDict([('lambda_weight', [1.0, 5.0, 10.0, 25.0, 50.0, 100.0, 500.0])])",COMPLETE
1,0.9793228507041931,1.1444149017333984,0.8152710199356079,3.493124008178711,0.0012362077832221985,0.09822772443294525,1.0281105041503906,3.303074836730957,0.0008941888809204102,0.06092793494462967,2023-01-08 17:30:51.137730,2023-01-08 21:03:07.939720,0 days 03:32:16.801990,512,0.99,3,2,3,0,1.0,512,10,25.0,1.0,12,2,0.4,256,6,3,"OrderedDict([('lambda_weight', [1.0, 5.0, 10.0, 25.0, 50.0, 100.0, 500.0])])",COMPLETE
2,1.049564242362976,1.1866025924682617,0.8338196873664856,3.5297036170959473,0.001004837453365326,0.13021567463874817,1.0310932397842407,3.451359510421753,0.0007385015487670898,0.08407799899578094,2023-01-08 21:03:07.940461,2023-01-09 00:35:20.949986,0 days 03:32:13.009525,512,0.99,3,2,3,0,1.0,512,10,50.0,1.0,12,2,0.4,256,6,4,"OrderedDict([('lambda_weight', [1.0, 5.0, 10.0, 25.0, 50.0, 100.0, 500.0])])",COMPLETE
3,0.9330263137817383,1.1375188827514648,0.8033570051193237,3.5763092041015625,0.0014641284942626953,0.08660020679235458,1.0395448207855225,3.393303394317627,0.002068817615509033,0.053717635571956635,2023-01-09 00:35:20.950718,2023-01-09 04:07:30.376642,0 days 03:32:09.425924,512,0.99,3,2,3,0,1.0,512,10,5.0,1.0,12,2,0.4,256,6,1,"OrderedDict([('lambda_weight', [1.0, 5.0, 10.0, 25.0, 50.0, 100.0, 500.0])])",COMPLETE
4,1.5204267501831055,1.6587274074554443,0.8439153432846069,3.6595072746276855,0.0008772611618041992,0.20129455626010895,1.0394227504730225,3.636813163757324,0.0008376240730285645,0.1641327440738678,2023-01-09 04:07:30.377367,2023-01-09 07:39:34.785235,0 days 03:32:04.407868,512,0.99,3,2,3,0,1.0,512,10,500.0,1.0,12,2,0.4,256,6,6,"OrderedDict([('lambda_weight', [1.0, 5.0, 10.0, 25.0, 50.0, 100.0, 500.0])])",COMPLETE
5,0.9723877310752869,1.139328956604004,0.8118570446968079,3.73816180229187,0.001412324607372284,0.10903994739055634,1.0194998979568481,3.53493595123291,0.0013684630393981934,0.07080882787704468,2023-01-09 07:39:34.785981,2023-01-09 11:11:36.804865,0 days 03:32:02.018884,512,0.99,3,2,3,0,1.0,512,10,10.0,1.0,12,2,0.4,256,6,2,"OrderedDict([('lambda_weight', [1.0, 5.0, 10.0, 25.0, 50.0, 100.0, 500.0])])",COMPLETE
6,0.935964047908783,1.1469427347183228,0.8035834431648254,3.056701898574829,0.004328183829784393,0.09752869606018066,1.0453535318374634,2.7983856201171875,0.00633084774017334,0.06733782589435577,2023-01-09 11:11:36.805586,2023-01-09 14:43:41.669047,0 days 03:32:04.863461,512,0.99,3,2,3,0,1.0,512,10,1.0,1.0,12,2,0.4,256,6,0,"OrderedDict([('lambda_weight', [1.0, 5.0, 10.0, 25.0, 50.0, 100.0, 500.0])])",COMPLETE
