number,values_0,values_1,values_2,values_3,datetime_start,datetime_complete,duration,params_C_in,params_C_out,params_alpha,params_alpha_weight,params_class_labels,params_head_hidden_state,params_kernel_size,params_lambda_weight,params_lr,params_num_dil_rates,params_num_rates,params_wave_hidden_state,params_xi_weight,params_z_dim,system_attrs_grid_id,system_attrs_search_space,state
0,1.2315962314605713,0.014518420211970806,1.5870712995529175,0.012481212615966797,2022-08-07 01:01:50.851321,2022-08-07 01:13:21.807210,0 days 00:11:30.955889,21,128,0.1,0.95,21,128,3,2.0,0.0001,6,0,128,1.0,16,0,"OrderedDict([('z_dim', [16, 17, 18, 19, 20])])",COMPLETE
1,1.2248504161834717,0.015040993690490723,1.5861361026763916,0.015763401985168457,2022-08-07 01:13:21.808234,2022-08-07 01:24:16.967034,0 days 00:10:55.158800,21,128,0.1,0.95,21,128,3,2.0,0.0001,6,0,128,1.0,17,1,"OrderedDict([('z_dim', [16, 17, 18, 19, 20])])",COMPLETE
2,1.226243019104004,0.014243721961975098,1.6006495952606201,0.014494061470031738,2022-08-07 01:24:16.968030,2022-08-07 01:35:18.888393,0 days 00:11:01.920363,21,128,0.1,0.95,21,128,3,2.0,0.0001,6,0,128,1.0,20,4,"OrderedDict([('z_dim', [16, 17, 18, 19, 20])])",COMPLETE
3,1.2641105651855469,0.013835032470524311,1.6044129133224487,0.01567709445953369,2022-08-07 01:35:18.889374,2022-08-07 01:46:18.606032,0 days 00:10:59.716658,21,128,0.1,0.95,21,128,3,2.0,0.0001,6,0,128,1.0,19,3,"OrderedDict([('z_dim', [16, 17, 18, 19, 20])])",COMPLETE
4,1.2609755992889404,0.01338632870465517,1.6059068441390991,0.01465463638305664,2022-08-07 01:46:18.607292,2022-08-07 01:57:20.568287,0 days 00:11:01.960995,21,128,0.1,0.95,21,128,3,2.0,0.0001,6,0,128,1.0,18,2,"OrderedDict([('z_dim', [16, 17, 18, 19, 20])])",COMPLETE
