number,values_0,values_1,values_2,values_3,datetime_start,datetime_complete,duration,params_C_in,params_C_out,params_alpha,params_alpha_weight,params_class_labels,params_head_hidden_state,params_kernel_size,params_lambda_weight,params_lr,params_num_dil_rates,params_num_fc,params_num_rates,params_wave_hidden_state,params_xi_weight,params_z_dim,system_attrs_grid_id,system_attrs_search_space,state
0,1.1590237617492676,0.010150949470698833,1.565925121307373,0.016909241676330566,2022-08-09 09:52:10.449449,2022-08-09 10:07:12.481516,0 days 00:15:02.032067,21,32,0.1,0.95,21,512,3,2.0,0.0001,6,1,0,128,1.0,3,0,"OrderedDict([('C_out', [32, 64, 128, 256, 512])])",COMPLETE
1,1.1619455814361572,0.00847907830029726,1.548079490661621,0.015758633613586426,2022-08-09 10:07:12.483251,2022-08-09 10:22:45.611358,0 days 00:15:33.128107,21,64,0.1,0.95,21,512,3,2.0,0.0001,6,1,0,128,1.0,3,1,"OrderedDict([('C_out', [32, 64, 128, 256, 512])])",COMPLETE
2,1.1194180250167847,0.005894700530916452,1.5357969999313354,0.01733577251434326,2022-08-09 10:22:45.612819,2022-08-09 11:18:40.613934,0 days 00:55:55.001115,21,512,0.1,0.95,21,512,3,2.0,0.0001,6,1,0,128,1.0,3,4,"OrderedDict([('C_out', [32, 64, 128, 256, 512])])",COMPLETE
3,1.156536340713501,0.00865896511822939,1.536669135093689,0.009423613548278809,2022-08-09 11:18:40.614917,2022-08-09 11:43:58.130485,0 days 00:25:17.515568,21,256,0.1,0.95,21,512,3,2.0,0.0001,6,1,0,128,1.0,3,3,"OrderedDict([('C_out', [32, 64, 128, 256, 512])])",COMPLETE
4,1.1318937540054321,0.0052608647383749485,1.5519075393676758,0.008408188819885254,2022-08-09 11:43:58.131765,2022-08-09 12:01:57.856873,0 days 00:17:59.725108,21,128,0.1,0.95,21,512,3,2.0,0.0001,6,1,0,128,1.0,3,2,"OrderedDict([('C_out', [32, 64, 128, 256, 512])])",COMPLETE
