number,values_0,values_1,values_2,values_3,datetime_start,datetime_complete,duration,params_C_in,params_C_out,params_alpha,params_alpha_weight,params_class_labels,params_head_hidden_state,params_kernel_size,params_lambda_weight,params_lr,params_num_dil_rates,params_num_rates,params_wave_hidden_state,params_xi_weight,params_z_dim,system_attrs_grid_id,system_attrs_search_space,state
0,0.9052083492279053,0.015056157484650612,1.9711955785751343,0.018254144117236137,2022-08-07 13:26:33.249156,2022-08-07 13:39:06.187082,0 days 00:12:32.937926,21,128,0.1,0.95,21,128,3,2.0,0.0001,6,0,128,1.0,11,0,"OrderedDict([('z_dim', [11, 12, 13, 14, 15])])",COMPLETE
1,0.933085024356842,0.01422429084777832,1.9577839374542236,0.015566842630505562,2022-08-07 13:39:06.188092,2022-08-07 13:51:05.249090,0 days 00:11:59.060998,21,128,0.1,0.95,21,128,3,2.0,0.0001,6,0,128,1.0,12,1,"OrderedDict([('z_dim', [11, 12, 13, 14, 15])])",COMPLETE
2,0.9290039539337158,0.01409976463764906,1.9547535181045532,0.01876412145793438,2022-08-07 13:51:05.250075,2022-08-07 14:03:02.338620,0 days 00:11:57.088545,21,128,0.1,0.95,21,128,3,2.0,0.0001,6,0,128,1.0,15,4,"OrderedDict([('z_dim', [11, 12, 13, 14, 15])])",COMPLETE
3,0.9938773512840271,0.014208579435944557,1.8434010744094849,0.013499157503247261,2022-08-07 14:03:02.339606,2022-08-07 14:14:58.588191,0 days 00:11:56.248585,21,128,0.1,0.95,21,128,3,2.0,0.0001,6,0,128,1.0,14,3,"OrderedDict([('z_dim', [11, 12, 13, 14, 15])])",COMPLETE
4,0.926400363445282,0.014405226334929466,1.9421418905258179,0.017852118238806725,2022-08-07 14:14:58.589168,2022-08-07 14:27:01.989965,0 days 00:12:03.400797,21,128,0.1,0.95,21,128,3,2.0,0.0001,6,0,128,1.0,13,2,"OrderedDict([('z_dim', [11, 12, 13, 14, 15])])",COMPLETE
