number,values_0,values_1,values_2,values_3,datetime_start,datetime_complete,duration,params_C_in,params_C_out,params_alpha,params_alpha_weight,params_class_labels,params_head_hidden_state,params_kernel_size,params_lambda_weight,params_lr,params_num_dil_rates,params_num_fc,params_num_rates,params_wave_hidden_state,params_xi_weight,params_z_dim,system_attrs_grid_id,system_attrs_search_space,state
0,1.1760624647140503,0.05618640035390854,1.659264326095581,0.038851361721754074,2022-08-14 01:55:05.613300,2022-08-14 02:09:32.255948,0 days 00:14:26.642648,21,256,0.1,0.95,21,512,3,2.0,0.0001,8,0,0,64,50.0,4,5,"OrderedDict([('xi_weight', [0.1, 0.5, 1.0, 5.0, 10.0, 50.0, 100.0])])",COMPLETE
1,1.290928840637207,0.012730884365737438,1.6629457473754883,0.027328627184033394,2022-08-14 02:09:32.256955,2022-08-14 02:23:43.554312,0 days 00:14:11.297357,21,256,0.1,0.95,21,512,3,2.0,0.0001,8,0,0,64,0.1,4,0,"OrderedDict([('xi_weight', [0.1, 0.5, 1.0, 5.0, 10.0, 50.0, 100.0])])",COMPLETE
2,1.2672353982925415,0.010515022091567516,1.6612194776535034,0.026575753465294838,2022-08-14 02:23:43.555047,2022-08-14 02:38:02.016531,0 days 00:14:18.461484,21,256,0.1,0.95,21,512,3,2.0,0.0001,8,0,0,64,0.5,4,1,"OrderedDict([('xi_weight', [0.1, 0.5, 1.0, 5.0, 10.0, 50.0, 100.0])])",COMPLETE
3,1.2778581380844116,0.007822942920029163,1.6665135622024536,0.018803222104907036,2022-08-14 02:38:02.017567,2022-08-14 02:52:22.185470,0 days 00:14:20.167903,21,256,0.1,0.95,21,512,3,2.0,0.0001,8,0,0,64,10.0,4,4,"OrderedDict([('xi_weight', [0.1, 0.5, 1.0, 5.0, 10.0, 50.0, 100.0])])",COMPLETE
4,1.30588960647583,0.007829094305634499,1.6541246175765991,0.024816853925585747,2022-08-14 02:52:22.186267,2022-08-14 03:06:39.556131,0 days 00:14:17.369864,21,256,0.1,0.95,21,512,3,2.0,0.0001,8,0,0,64,1.0,4,2,"OrderedDict([('xi_weight', [0.1, 0.5, 1.0, 5.0, 10.0, 50.0, 100.0])])",COMPLETE
5,1.2767277956008911,0.0066190240904688835,1.6440033912658691,0.02816537395119667,2022-08-14 03:06:39.556855,2022-08-14 03:20:52.467249,0 days 00:14:12.910394,21,256,0.1,0.95,21,512,3,2.0,0.0001,8,0,0,64,5.0,4,3,"OrderedDict([('xi_weight', [0.1, 0.5, 1.0, 5.0, 10.0, 50.0, 100.0])])",COMPLETE
6,1.1898754835128784,0.09019039571285248,1.642615556716919,0.04893185570836067,2022-08-14 03:20:52.468391,2022-08-14 03:35:26.400775,0 days 00:14:33.932384,21,256,0.1,0.95,21,512,3,2.0,0.0001,8,0,0,64,100.0,4,6,"OrderedDict([('xi_weight', [0.1, 0.5, 1.0, 5.0, 10.0, 50.0, 100.0])])",COMPLETE
