number,values_0,values_1,values_2,values_3,datetime_start,datetime_complete,duration,params_C_in,params_C_out,params_alpha,params_alpha_weight,params_class_labels,params_head_hidden_state,params_kernel_size,params_lambda_weight,params_lr,params_num_dil_rates,params_num_fc,params_num_rates,params_wave_hidden_state,params_xi_weight,params_z_dim,system_attrs_grid_id,system_attrs_search_space,state
0,1.307879090309143,0.010508966632187366,1.6569395065307617,0.027338793501257896,2022-08-12 07:15:48.939076,2022-08-12 07:30:13.681516,0 days 00:14:24.742440,21,256,0.1,0.95,21,512,3,2.0,0.0001,8,0,0,64,1.0,4,5,"OrderedDict([('alpha_weight', [0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.99])])",COMPLETE
1,1.3077317476272583,0.07227678596973419,1.6847726106643677,0.062032971531152725,2022-08-12 07:30:13.682769,2022-08-12 07:44:17.657273,0 days 00:14:03.974504,21,256,0.1,0.7,21,512,3,2.0,0.0001,8,0,0,64,1.0,4,0,"OrderedDict([('alpha_weight', [0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.99])])",COMPLETE
2,1.2957093715667725,0.06402721256017685,1.687612771987915,0.06338618695735931,2022-08-12 07:44:17.658306,2022-08-12 07:58:27.998968,0 days 00:14:10.340662,21,256,0.1,0.75,21,512,3,2.0,0.0001,8,0,0,64,1.0,4,1,"OrderedDict([('alpha_weight', [0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.99])])",COMPLETE
3,1.3237131834030151,0.019835781306028366,1.6678838729858398,0.04079234600067139,2022-08-12 07:58:27.999972,2022-08-12 08:12:41.523516,0 days 00:14:13.523544,21,256,0.1,0.9,21,512,3,2.0,0.0001,8,0,0,64,1.0,4,4,"OrderedDict([('alpha_weight', [0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.99])])",COMPLETE
4,1.3419475555419922,0.05256018787622452,1.688376545906067,0.060177478939294815,2022-08-12 08:12:41.524620,2022-08-12 08:26:52.421583,0 days 00:14:10.896963,21,256,0.1,0.8,21,512,3,2.0,0.0001,8,0,0,64,1.0,4,2,"OrderedDict([('alpha_weight', [0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.99])])",COMPLETE
5,1.3358240127563477,0.03980312496423721,1.6686735153198242,0.06279388815164566,2022-08-12 08:26:52.422697,2022-08-12 08:41:01.883705,0 days 00:14:09.461008,21,256,0.1,0.85,21,512,3,2.0,0.0001,8,0,0,64,1.0,4,3,"OrderedDict([('alpha_weight', [0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.99])])",COMPLETE
6,1.2626361846923828,0.0029828310944139957,1.6456727981567383,0.02440265193581581,2022-08-12 08:41:01.884671,2022-08-12 08:55:08.873135,0 days 00:14:06.988464,21,256,0.1,0.99,21,512,3,2.0,0.0001,8,0,0,64,1.0,4,6,"OrderedDict([('alpha_weight', [0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.99])])",COMPLETE
