number,values_0,values_1,values_2,values_3,datetime_start,datetime_complete,duration,params_C_in,params_C_out,params_alpha,params_alpha_weight,params_class_labels,params_head_hidden_state,params_kernel_size,params_lambda_weight,params_lr,params_num_dil_rates,params_num_rates,params_wave_hidden_state,params_xi_weight,params_z_dim,system_attrs_grid_id,system_attrs_search_space,state
0,1.0098662376403809,0.013745998963713646,1.799789309501648,0.025934305042028427,2022-08-07 13:26:33.249246,2022-08-07 13:39:03.553412,0 days 00:12:30.304166,21,128,0.1,0.95,21,128,3,2.0,0.0001,6,0,128,1.0,6,0,"OrderedDict([('z_dim', [6, 7, 8, 9, 10])])",COMPLETE
1,0.9569467902183533,0.013514900580048561,1.8850234746932983,0.01884208433330059,2022-08-07 13:39:03.554574,2022-08-07 13:51:01.178523,0 days 00:11:57.623949,21,128,0.1,0.95,21,128,3,2.0,0.0001,6,0,128,1.0,7,1,"OrderedDict([('z_dim', [6, 7, 8, 9, 10])])",COMPLETE
2,1.0087882280349731,0.014655208215117455,1.8508753776550293,0.01687851920723915,2022-08-07 13:51:01.179486,2022-08-07 14:03:00.547868,0 days 00:11:59.368382,21,128,0.1,0.95,21,128,3,2.0,0.0001,6,0,128,1.0,10,4,"OrderedDict([('z_dim', [6, 7, 8, 9, 10])])",COMPLETE
3,1.0285576581954956,0.013494801707565784,1.8391735553741455,0.017062852159142494,2022-08-07 14:03:00.548903,2022-08-07 14:14:56.930448,0 days 00:11:56.381545,21,128,0.1,0.95,21,128,3,2.0,0.0001,6,0,128,1.0,9,3,"OrderedDict([('z_dim', [6, 7, 8, 9, 10])])",COMPLETE
4,0.9170216917991638,0.013994956389069557,1.9820141792297363,0.020022528246045113,2022-08-07 14:14:56.932249,2022-08-07 14:26:59.602762,0 days 00:12:02.670513,21,128,0.1,0.95,21,128,3,2.0,0.0001,6,0,128,1.0,8,2,"OrderedDict([('z_dim', [6, 7, 8, 9, 10])])",COMPLETE
