number,values_0,values_1,values_2,values_3,datetime_start,datetime_complete,duration,params_C_in,params_C_out,params_alpha,params_alpha_weight,params_class_labels,params_head_hidden_state,params_kernel_size,params_lambda_weight,params_lr,params_num_dil_rates,params_num_fc,params_num_rates,params_wave_hidden_state,params_xi_weight,params_z_dim,system_attrs_grid_id,system_attrs_search_space,state
0,1.4932878017425537,0.00862729549407959,1.7771645784378052,0.025439739227294922,2022-08-09 00:52:36.786396,2022-08-09 01:03:40.206921,0 days 00:11:03.420525,21,128,0.1,0.95,21,32,3,2.0,0.0001,6,1,0,64,1.0,4,0,"OrderedDict([('head_hidden_state', [32, 64, 128, 256, 512])])",COMPLETE
1,1.4511864185333252,0.007942771539092064,1.7094318866729736,0.0241294763982296,2022-08-09 01:03:40.207961,2022-08-09 01:14:31.599320,0 days 00:10:51.391359,21,128,0.1,0.95,21,64,3,2.0,0.0001,6,1,0,64,1.0,4,1,"OrderedDict([('head_hidden_state', [32, 64, 128, 256, 512])])",COMPLETE
2,1.369512677192688,0.009423399344086647,1.6601651906967163,0.02586003765463829,2022-08-09 01:14:31.600375,2022-08-09 01:25:30.573723,0 days 00:10:58.973348,21,128,0.1,0.95,21,512,3,2.0,0.0001,6,1,0,64,1.0,4,4,"OrderedDict([('head_hidden_state', [32, 64, 128, 256, 512])])",COMPLETE
3,1.4003090858459473,0.008175468072295189,1.663928747177124,0.03636016324162483,2022-08-09 01:25:30.574739,2022-08-09 01:36:21.010183,0 days 00:10:50.435444,21,128,0.1,0.95,21,256,3,2.0,0.0001,6,1,0,64,1.0,4,3,"OrderedDict([('head_hidden_state', [32, 64, 128, 256, 512])])",COMPLETE
4,1.4432764053344727,0.009438157081604004,1.6907869577407837,0.02371278777718544,2022-08-09 01:36:21.011354,2022-08-09 01:47:15.249893,0 days 00:10:54.238539,21,128,0.1,0.95,21,128,3,2.0,0.0001,6,1,0,64,1.0,4,2,"OrderedDict([('head_hidden_state', [32, 64, 128, 256, 512])])",COMPLETE
