number,values_0,values_1,values_2,values_3,datetime_start,datetime_complete,duration,params_C_in,params_C_out,params_alpha,params_alpha_weight,params_class_labels,params_head_hidden_state,params_kernel_size,params_lambda_weight,params_lr,params_num_dil_rates,params_num_fc,params_num_rates,params_wave_hidden_state,params_xi_weight,params_z_dim,system_attrs_grid_id,system_attrs_search_space,state
0,1.3709408044815063,0.011031245812773705,1.6612586975097656,0.022311704233288765,2022-08-09 10:00:21.603984,2022-08-09 10:11:07.833997,0 days 00:10:46.230013,21,32,0.1,0.95,21,512,3,2.0,0.0001,6,1,0,64,1.0,4,0,"OrderedDict([('C_out', [32, 64, 128, 256, 512])])",COMPLETE
1,1.3201271295547485,0.006968140602111816,1.6572799682617188,0.026306459680199623,2022-08-09 10:11:07.836474,2022-08-09 10:22:31.439883,0 days 00:11:23.603409,21,64,0.1,0.95,21,512,3,2.0,0.0001,6,1,0,64,1.0,4,1,"OrderedDict([('C_out', [32, 64, 128, 256, 512])])",COMPLETE
2,1.353630781173706,0.010038113221526146,1.641785740852356,0.02327561378479004,2022-08-09 10:22:31.440898,2022-08-09 10:40:29.748838,0 days 00:17:58.307940,21,512,0.1,0.95,21,512,3,2.0,0.0001,6,1,0,64,1.0,4,4,"OrderedDict([('C_out', [32, 64, 128, 256, 512])])",COMPLETE
3,1.3364849090576172,0.007954811677336693,1.639306664466858,0.026940515264868736,2022-08-09 10:40:29.750880,2022-08-09 10:53:12.508665,0 days 00:12:42.757785,21,256,0.1,0.95,21,512,3,2.0,0.0001,6,1,0,64,1.0,4,3,"OrderedDict([('C_out', [32, 64, 128, 256, 512])])",COMPLETE
4,1.3767151832580566,0.008632635697722435,1.6643693447113037,0.027219941839575768,2022-08-09 10:53:12.509404,2022-08-09 11:04:36.697879,0 days 00:11:24.188475,21,128,0.1,0.95,21,512,3,2.0,0.0001,6,1,0,64,1.0,4,2,"OrderedDict([('C_out', [32, 64, 128, 256, 512])])",COMPLETE
