number,values_0,values_1,values_2,values_3,datetime_start,datetime_complete,duration,params_C_in,params_C_out,params_alpha,params_alpha_weight,params_class_labels,params_head_hidden_state,params_kernel_size,params_lambda_weight,params_lr,params_num_dil_rates,params_num_rates,params_wave_hidden_state,params_xi_weight,params_z_dim,system_attrs_grid_id,system_attrs_search_space,state
0,1.161989688873291,0.004788044840097427,1.570662021636963,0.007660374045372009,2022-08-07 00:04:54.960138,2022-08-07 00:34:07.890799,0 days 00:29:12.930661,21,128,0.1,0.95,21,128,3,2.0,0.0001,6,0,128,1.0,1,0,"OrderedDict([('z_dim', [1, 2, 3, 4, 5])])",COMPLETE
1,1.1727874279022217,0.004467591643333435,1.5712822675704956,0.012772411108016968,2022-08-07 00:34:07.892512,2022-08-07 01:03:12.068084,0 days 00:29:04.175572,21,128,0.1,0.95,21,128,3,2.0,0.0001,6,0,128,1.0,2,1,"OrderedDict([('z_dim', [1, 2, 3, 4, 5])])",COMPLETE
2,1.1586570739746094,0.011312171816825867,1.5696690082550049,0.019201934337615967,2022-08-07 01:03:12.068700,2022-08-07 01:32:15.144474,0 days 00:29:03.075774,21,128,0.1,0.95,21,128,3,2.0,0.0001,6,0,128,1.0,5,4,"OrderedDict([('z_dim', [1, 2, 3, 4, 5])])",COMPLETE
3,1.1668262481689453,0.00877343863248825,1.5705807209014893,0.01892697811126709,2022-08-07 01:32:15.146034,2022-08-07 02:01:30.081725,0 days 00:29:14.935691,21,128,0.1,0.95,21,128,3,2.0,0.0001,6,0,128,1.0,4,3,"OrderedDict([('z_dim', [1, 2, 3, 4, 5])])",COMPLETE
4,1.1759283542633057,0.006077021360397339,1.5627715587615967,0.01394835114479065,2022-08-07 02:01:30.083657,2022-08-07 02:30:44.696652,0 days 00:29:14.612995,21,128,0.1,0.95,21,128,3,2.0,0.0001,6,0,128,1.0,3,2,"OrderedDict([('z_dim', [1, 2, 3, 4, 5])])",COMPLETE
