number,values_0,values_1,values_2,values_3,datetime_start,datetime_complete,duration,params_C_in,params_C_out,params_alpha,params_alpha_weight,params_class_labels,params_head_hidden_state,params_kernel_size,params_lambda_weight,params_lr,params_num_dil_rates,params_num_fc,params_num_rates,params_wave_hidden_state,params_xi_weight,params_z_dim,system_attrs_grid_id,system_attrs_search_space,state
0,1.1885466575622559,0.015144824981689453,1.5898406505584717,0.020186901092529297,2022-08-09 00:48:38.836232,2022-08-09 01:50:00.863274,0 days 01:01:22.027042,21,128,0.1,0.95,21,32,3,2.0,0.0001,6,1,0,128,1.0,6,0,"OrderedDict([('head_hidden_state', [32, 64, 128, 256, 512])])",COMPLETE
1,1.1050448417663574,0.014165177941322327,1.5678224563598633,0.018679827451705933,2022-08-09 01:50:00.864462,2022-08-09 02:51:17.991150,0 days 01:01:17.126688,21,128,0.1,0.95,21,64,3,2.0,0.0001,6,1,0,128,1.0,6,1,"OrderedDict([('head_hidden_state', [32, 64, 128, 256, 512])])",COMPLETE
2,1.0429725646972656,0.015057913959026337,1.6180661916732788,0.021286994218826294,2022-08-09 02:51:17.992075,2022-08-09 03:55:35.822345,0 days 01:04:17.830270,21,128,0.1,0.95,21,512,3,2.0,0.0001,6,1,0,128,1.0,6,4,"OrderedDict([('head_hidden_state', [32, 64, 128, 256, 512])])",COMPLETE
3,1.1047252416610718,0.014777563512325287,1.566929817199707,0.019372284412384033,2022-08-09 03:55:35.823399,2022-08-09 04:59:34.330778,0 days 01:03:58.507379,21,128,0.1,0.95,21,256,3,2.0,0.0001,6,1,0,128,1.0,6,3,"OrderedDict([('head_hidden_state', [32, 64, 128, 256, 512])])",COMPLETE
4,1.1556761264801025,0.01558654010295868,1.5883100032806396,0.02003130316734314,2022-08-09 04:59:34.331733,2022-08-09 06:02:42.848220,0 days 01:03:08.516487,21,128,0.1,0.95,21,128,3,2.0,0.0001,6,1,0,128,1.0,6,2,"OrderedDict([('head_hidden_state', [32, 64, 128, 256, 512])])",COMPLETE
