number,values_0,values_1,values_2,values_3,datetime_start,datetime_complete,duration,params_C_in,params_C_out,params_alpha,params_alpha_weight,params_batch_size,params_class_labels,params_head_hidden_state,params_kernel_size,params_lambda_weight,params_lr,params_num_dil_rates,params_num_fc,params_num_rates,params_wave_hidden_state,params_xi_weight,params_z_dim,system_attrs_grid_id,system_attrs_search_space,state
0,1.2625741958618164,0.018725469708442688,1.5548388957977295,0.020182549953460693,2022-08-11 13:09:14.491500,2022-08-11 13:32:16.141501,0 days 00:23:01.650001,21,32,0.1,0.95,256,21,256,3,2.0,0.0001,5,3,0,128,1.0,6,5,"OrderedDict([('alpha_weight', [0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.99])])",COMPLETE
1,1.2812052965164185,0.056022658944129944,1.5613946914672852,0.055215537548065186,2022-08-11 13:32:16.142555,2022-08-11 13:55:00.687034,0 days 00:22:44.544479,21,32,0.1,0.7,256,21,256,3,2.0,0.0001,5,3,0,128,1.0,6,0,"OrderedDict([('alpha_weight', [0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.99])])",COMPLETE
2,1.2512686252593994,0.04703294485807419,1.560935378074646,0.04582852125167847,2022-08-11 13:55:00.687956,2022-08-11 14:17:50.421543,0 days 00:22:49.733587,21,32,0.1,0.75,256,21,256,3,2.0,0.0001,5,3,0,128,1.0,6,1,"OrderedDict([('alpha_weight', [0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.99])])",COMPLETE
3,1.2957748174667358,0.03379397094249725,1.5608155727386475,0.03112432360649109,2022-08-11 14:17:50.422576,2022-08-11 14:40:38.935002,0 days 00:22:48.512426,21,32,0.1,0.9,256,21,256,3,2.0,0.0001,5,3,0,128,1.0,6,4,"OrderedDict([('alpha_weight', [0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.99])])",COMPLETE
4,1.246505856513977,0.04483768343925476,1.561053991317749,0.04218381643295288,2022-08-11 14:40:38.936381,2022-08-11 15:03:38.057921,0 days 00:22:59.121540,21,32,0.1,0.8,256,21,256,3,2.0,0.0001,5,3,0,128,1.0,6,2,"OrderedDict([('alpha_weight', [0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.99])])",COMPLETE
5,1.2719160318374634,0.03800453245639801,1.5585662126541138,0.04189556837081909,2022-08-11 15:03:38.058850,2022-08-11 15:26:38.832393,0 days 00:23:00.773543,21,32,0.1,0.85,256,21,256,3,2.0,0.0001,5,3,0,128,1.0,6,3,"OrderedDict([('alpha_weight', [0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.99])])",COMPLETE
6,1.1881917715072632,0.0029307901859283447,1.545655369758606,0.0036086440086364746,2022-08-11 15:26:38.833397,2022-08-11 15:49:29.981841,0 days 00:22:51.148444,21,32,0.1,0.99,256,21,256,3,2.0,0.0001,5,3,0,128,1.0,6,6,"OrderedDict([('alpha_weight', [0.7, 0.75, 0.8, 0.85, 0.9, 0.95, 0.99])])",COMPLETE
