number,values_0,values_1,values_2,values_3,datetime_start,datetime_complete,duration,params_C_in,params_C_out,params_alpha,params_alpha_weight,params_class_labels,params_head_hidden_state,params_kernel_size,params_lambda_weight,params_lr,params_num_dil_rates,params_num_fc,params_num_rates,params_wave_hidden_state,params_xi_weight,params_z_dim,system_attrs_grid_id,system_attrs_search_space,state
0,1.149763822555542,0.021974079310894012,1.573927879333496,0.022317081689834595,2022-08-10 04:26:46.231920,2022-08-10 05:16:17.714444,0 days 00:49:31.482524,21,32,0.1,0.95,21,256,3,2.0,0.0001,6,0,0,128,1.0,6,0,"OrderedDict([('num_fc', [0, 1, 2, 3, 4])])",COMPLETE
1,1.1642699241638184,0.022329099476337433,1.5785727500915527,0.022032976150512695,2022-08-10 05:16:17.715473,2022-08-10 06:05:34.702902,0 days 00:49:16.987429,21,32,0.1,0.95,21,256,3,2.0,0.0001,6,1,0,128,1.0,6,1,"OrderedDict([('num_fc', [0, 1, 2, 3, 4])])",COMPLETE
2,1.1139754056930542,0.01986946165561676,1.5875828266143799,0.02009516954421997,2022-08-10 06:05:34.947839,2022-08-10 06:55:00.318794,0 days 00:49:25.370955,21,32,0.1,0.95,21,256,3,2.0,0.0001,6,4,0,128,1.0,6,4,"OrderedDict([('num_fc', [0, 1, 2, 3, 4])])",COMPLETE
3,1.0958845615386963,0.019050322473049164,1.5526773929595947,0.022148042917251587,2022-08-10 06:55:00.319708,2022-08-10 07:44:25.660142,0 days 00:49:25.340434,21,32,0.1,0.95,21,256,3,2.0,0.0001,6,3,0,128,1.0,6,3,"OrderedDict([('num_fc', [0, 1, 2, 3, 4])])",COMPLETE
4,1.1218904256820679,0.02233053743839264,1.5754947662353516,0.023303717374801636,2022-08-10 07:44:25.661141,2022-08-10 08:33:48.111799,0 days 00:49:22.450658,21,32,0.1,0.95,21,256,3,2.0,0.0001,6,2,0,128,1.0,6,2,"OrderedDict([('num_fc', [0, 1, 2, 3, 4])])",COMPLETE
