number,values_0,values_1,values_2,values_3,datetime_start,datetime_complete,duration,params_C_in,params_C_out,params_alpha,params_alpha_weight,params_class_labels,params_head_hidden_state,params_kernel_size,params_lambda_weight,params_lr,params_num_dil_rates,params_num_fc,params_num_rates,params_wave_hidden_state,params_xi_weight,params_z_dim,system_attrs_grid_id,system_attrs_search_space,state
0,1.2611697912216187,0.001617327332496643,1.5489293336868286,0.0014046132564544678,2022-08-14 01:52:42.384296,2022-08-14 02:35:08.027928,0 days 00:42:25.643632,21,32,0.1,0.99,21,256,3,50.0,0.0001,5,3,0,128,1.0,6,5,"OrderedDict([('lambda_weight', [1.0, 2.0, 5.0, 10.0, 20.0, 50.0, 100.0])])",COMPLETE
1,1.244644045829773,0.004541315138339996,1.5436924695968628,0.006152153015136719,2022-08-14 02:35:08.029028,2022-08-14 03:17:21.104321,0 days 00:42:13.075293,21,32,0.1,0.99,21,256,3,1.0,0.0001,5,3,0,128,1.0,6,0,"OrderedDict([('lambda_weight', [1.0, 2.0, 5.0, 10.0, 20.0, 50.0, 100.0])])",COMPLETE
2,1.229958176612854,0.0028776079416275024,1.5438435077667236,0.004282772541046143,2022-08-14 03:17:21.105331,2022-08-14 03:59:25.119938,0 days 00:42:04.014607,21,32,0.1,0.99,21,256,3,2.0,0.0001,5,3,0,128,1.0,6,1,"OrderedDict([('lambda_weight', [1.0, 2.0, 5.0, 10.0, 20.0, 50.0, 100.0])])",COMPLETE
3,1.2831363677978516,0.0023260116577148438,1.5432783365249634,0.003112316131591797,2022-08-14 03:59:25.120921,2022-08-14 04:41:19.569353,0 days 00:41:54.448432,21,32,0.1,0.99,21,256,3,20.0,0.0001,5,3,0,128,1.0,6,4,"OrderedDict([('lambda_weight', [1.0, 2.0, 5.0, 10.0, 20.0, 50.0, 100.0])])",COMPLETE
4,1.2291897535324097,0.0025955215096473694,1.5332928895950317,0.002675086259841919,2022-08-14 04:41:20.085607,2022-08-14 05:22:54.734375,0 days 00:41:34.648768,21,32,0.1,0.99,21,256,3,5.0,0.0001,5,3,0,128,1.0,6,2,"OrderedDict([('lambda_weight', [1.0, 2.0, 5.0, 10.0, 20.0, 50.0, 100.0])])",COMPLETE
5,1.2461435794830322,0.0028216689825057983,1.5383416414260864,0.0029175281524658203,2022-08-14 05:22:56.877051,2022-08-14 06:04:26.855634,0 days 00:41:29.978583,21,32,0.1,0.99,21,256,3,10.0,0.0001,5,3,0,128,1.0,6,3,"OrderedDict([('lambda_weight', [1.0, 2.0, 5.0, 10.0, 20.0, 50.0, 100.0])])",COMPLETE
6,1.2057960033416748,0.002394355833530426,1.5525039434432983,0.0027656257152557373,2022-08-14 06:04:26.856635,2022-08-14 06:45:55.077039,0 days 00:41:28.220404,21,32,0.1,0.99,21,256,3,100.0,0.0001,5,3,0,128,1.0,6,6,"OrderedDict([('lambda_weight', [1.0, 2.0, 5.0, 10.0, 20.0, 50.0, 100.0])])",COMPLETE
