number,values_0,values_1,values_2,values_3,datetime_start,datetime_complete,duration,params_C_in,params_C_out,params_alpha,params_alpha_weight,params_class_labels,params_head_hidden_state,params_kernel_size,params_lambda_weight,params_lr,params_num_dil_rates,params_num_fc,params_num_rates,params_wave_hidden_state,params_xi_weight,params_z_dim,system_attrs_grid_id,system_attrs_search_space,state
0,1.2157965898513794,0.05209474265575409,1.585274577140808,0.05157718062400818,2022-08-12 07:24:08.185500,2022-08-12 07:46:30.983763,0 days 00:22:22.798263,21,32,0.1,0.99,21,256,3,2.0,0.0001,5,3,0,128,50.0,6,5,"OrderedDict([('xi_weight', [0.1, 0.5, 1.0, 5.0, 10.0, 50.0, 100.0])])",COMPLETE
1,1.272208333015442,0.005120120942592621,1.549375295639038,0.005398929119110107,2022-08-12 07:46:30.985371,2022-08-12 08:08:29.528906,0 days 00:21:58.543535,21,32,0.1,0.99,21,256,3,2.0,0.0001,5,3,0,128,0.1,6,0,"OrderedDict([('xi_weight', [0.1, 0.5, 1.0, 5.0, 10.0, 50.0, 100.0])])",COMPLETE
2,1.2371124029159546,0.0032648518681526184,1.542374849319458,0.00494733452796936,2022-08-12 08:08:29.529676,2022-08-12 08:30:25.203707,0 days 00:21:55.674031,21,32,0.1,0.99,21,256,3,2.0,0.0001,5,3,0,128,0.5,6,1,"OrderedDict([('xi_weight', [0.1, 0.5, 1.0, 5.0, 10.0, 50.0, 100.0])])",COMPLETE
3,1.2341231107711792,0.004883848130702972,1.5662226676940918,0.004817366600036621,2022-08-12 08:30:25.204428,2022-08-12 08:52:19.252740,0 days 00:21:54.048312,21,32,0.1,0.99,21,256,3,2.0,0.0001,5,3,0,128,10.0,6,4,"OrderedDict([('xi_weight', [0.1, 0.5, 1.0, 5.0, 10.0, 50.0, 100.0])])",COMPLETE
4,1.221483588218689,0.002882242202758789,1.536262035369873,0.0031242668628692627,2022-08-12 08:52:19.253986,2022-08-12 09:14:09.154078,0 days 00:21:49.900092,21,32,0.1,0.99,21,256,3,2.0,0.0001,5,3,0,128,1.0,6,2,"OrderedDict([('xi_weight', [0.1, 0.5, 1.0, 5.0, 10.0, 50.0, 100.0])])",COMPLETE
5,1.2121907472610474,0.002851448953151703,1.5543103218078613,0.0027950704097747803,2022-08-12 09:14:09.155484,2022-08-12 09:36:00.725117,0 days 00:21:51.569633,21,32,0.1,0.99,21,256,3,2.0,0.0001,5,3,0,128,5.0,6,3,"OrderedDict([('xi_weight', [0.1, 0.5, 1.0, 5.0, 10.0, 50.0, 100.0])])",COMPLETE
6,1.1756296157836914,0.09412777423858643,1.5835520029067993,0.1021699607372284,2022-08-12 09:36:00.726226,2022-08-12 09:57:47.455138,0 days 00:21:46.728912,21,32,0.1,0.99,21,256,3,2.0,0.0001,5,3,0,128,100.0,6,6,"OrderedDict([('xi_weight', [0.1, 0.5, 1.0, 5.0, 10.0, 50.0, 100.0])])",COMPLETE
